#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
20.0,20,43.650998
16.0,20,43.676873
3.0,15,43.695655
8.0,20,43.719293
-10.0,2,43.723199
12.0,20,43.747748
-7.0,11,43.760979
-4.0,8,43.771308
20.0,20,43.797657
8.0,20,43.822084
20.0,20,43.845498
-11.0,1,43.84776
18.0,20,43.871286
-8.0,8,43.882557
0.0,12,43.898881
10.0,20,43.922411
12.0,20,43.945847
16.0,20,43.970713
-13.0,3,43.975716
4.0,20,44.000022
16.0,20,44.025192
16.0,20,44.048954
-5.0,7,44.057745
16.0,20,44.081223
16.0,20,44.10631
10.729653,20,44.130817
-14.0,2,44.134672
-10.0,2,44.137667
8.0,20,44.16033
8.0,20,44.183873
8.0,20,44.208871
16.0,20,44.233675
-6.0,8,44.243811
-10.0,6,44.25319
-10.0,2,44.256283
16.0,20,44.280058
-10.477309,3,44.284525
16.0,20,44.309355
-7.0,9,44.321015
12.0,20,44.344283
16.0,20,44.367576
20.0,20,44.391849
-12.977096,1,44.394737
16.0,20,44.419719
10.0,20,44.443989
20.0,20,44.468326
16.0,20,44.491805
16.0,20,44.516732
-11.0,1,44.518778
1.0,13,44.537114
14.0,20,44.561188
20.0,20,44.586391
20.0,20,44.609585
-6.0,8,44.703754
5.0,17,44.72561
12.45889,20,44.748708
-3.908141,14,44.766246
16.0,20,44.790937
-12.430561,1,44.792937
16.0,20,44.817755
18.0,20,44.841227
5.0,17,44.861857
-12.578048,2,44.86575
16.0,20,44.889107
-1.0,13,44.904294
16.0,20,44.930377
-5.0,9,44.941437
-1.0,11,44.954885
-12.755707,1,44.957088
-7.13828,8,44.968277
20.0,20,44.992217
20.0,20,45.016614
-1.0,11,45.031501
12.558507,20,45.057105
0.0,12,45.071518
16.0,20,45.095791
-4.0,8,45.105886
-9.0,3,45.11165
-9.0,3,45.117076
16.0,20,45.141874
-11.0,1,45.14415
16.0,20,45.167821
20.0,20,45.192111
14.0,20,45.215314
16.0,20,45.239958
16.0,20,45.264356
16.0,20,45.288635
10.0,20,45.312786
-3.0,15,45.330609
6.0,20,45.355912
16.0,20,45.379725
14.0,20,45.403768
-4.0,8,45.413776
16.0,20,45.439957
6.0,18,45.461603
-3.0,9,45.473249
18.125047,20,45.497495
16.0,20,45.521416
1.069886,19,45.545221
18.0,20,45.569282
16.0,20,45.592617
20.0,20,45.618492
16.0,20,45.643769
-9.0,3,45.649139
18.0,20,45.674192
-10.0,6,45.682497
16.0,20,45.706689
-13.340238,2,45.710508
14.0,20,45.733967
1.0,13,45.751793
-12.970945,1,45.754168
-6.0,10,45.767642
16.0,20,45.791855
-12.687414,1,45.794912
16.0,20,45.818735
-11.825571,2,45.822863
-10.0,2,45.825876
-13.0,3,45.831282
18.0,20,45.856155
18.0,20,45.880761
-11.0,1,45.883508
-11.0,1,45.886738
20.0,20,45.910836
-11.0,1,45.913779
20.0,20,45.937263
6.0,18,45.959521
18.0,20,45.985107
16.0,20,46.008903
-10.952887,3,46.013816
-4.892717,9,46.025705
-8.369472,5,46.032219
20.0,20,46.054515
16.0,20,46.079424
-10.0,2,46.084577
14.0,20,46.109012
-6.0,6,46.116286
20.0,20,46.139981
-5.272636,8,46.150577
-8.0,4,46.15599
-9.0,3,46.161983
-4.0,8,46.172595
14.0,20,46.196565
-4.0,8,46.20694
12.0,20,46.23074
-2.0,10,46.243887
16.0,20,46.272077
14.0,20,46.296791
-5.0,7,46.305256
-5.0,7,46.314991
16.0,20,46.339814
16.0,20,46.362734
0.0,12,46.378489
-12.976021,1,46.38066
-9.0,3,46.387133
-1.0,11,46.401297
1.0,13,46.417436
16.0,20,46.441226
1.0,17,46.462279
16.0,20,46.488223
-7.854595,6,46.496686
16.0,20,46.520392
18.0,20,46.544618
16.0,20,46.568566
16.0,20,46.59359
16.0,20,46.617797
20.0,20,46.642361
-10.0,2,46.645646
0.0,12,46.660657
-8.0,4,46.66613
-3.0,9,46.679292
12.0,20,46.704552
1.0,15,46.722264
-11.0,1,46.725343
-11.0,1,46.728642
-7.469348,6,46.736237
-6.0,6,46.74464
-9.0,7,46.754025
-14.0,2,46.757712
20.0,20,46.780987
-6.0,6,46.790373
-11.0,1,46.792509
16.0,20,46.817954
20.0,20,46.841861
-10.353057,3,46.846788
20.0,20,46.870451
-1.0,11,46.883829
20.0,20,46.910013
-10.355905,3,46.914976
-10.525207,3,46.919789
12.0,20,46.944376
-2.0,10,46.956287
-4.36265,9,46.968218
20.0,20,46.992883
14.0,20,47.018934
0.0,12,47.033324
18.0,20,47.05687
20.0,20,47.080291
-9.0,5,47.087741
-0.552567,13,47.104696
-8.0,4,47.11091
4.0,16,47.130682
18.0,20,47.154707
16.0,20,47.178857
-12.959602,1,47.180865
14.0,20,47.204673
16.0,20,47.231223
16.0,20,47.254909
12.0,20,47.278852
-12.928974,1,47.281701
-15.0,1,47.285123
-12.829165,1,47.287122
-8.0,4,47.292899
16.0,20,47.318374
12.0,20,47.342876
-9.0,3,47.347462
-11.0,1,47.349771
16.0,20,47.37375
18.0,20,47.397869
-4.390909,9,47.410117
-4.0,8,47.420492
20.0,20,47.44543
-12.0,4,47.452049
14.0,20,47.474982
18.0,20,47.49854
4.0,16,47.518473
-7.0,5,47.527208
5.0,17,47.548157
-11.0,1,47.55019
-5.853658,9,47.561239
14.0,20,47.58524
14.0,20,47.60983
20.0,20,47.63577
14.0,20,47.659491
-7.575982,6,47.668965
14.0,20,47.691674
-6.268352,7,47.701271
-13.0,7,47.70953
8.0,20,47.73702
20.0,20,47.760858
1.308647,15,47.779004
16.0,20,47.801987
14.0,20,47.829053
16.0,20,47.853924
20.0,20,47.877442
-10.0,2,47.88134
-11.0,1,47.884682
-11.0,1,47.886764
14.0,20,47.910616
-10.0,2,47.914448
18.0,20,47.939968
6.0,18,47.961466
-10.0,2,47.965592
-7.727506,6,47.973095
14.216135,20,47.99803
20.0,20,48.021204
14.0,20,48.045721
12.0,20,48.07055
16.0,20,48.095326
-11.706051,2,48.099102
16.0,20,48.122674
12.0,20,48.147479
-6.0,6,48.156278
20.0,20,48.179624
-4.0,8,48.189987
-11.0,1,48.192257
-12.486397,1,48.195793
16.0,20,48.218746
20.0,20,48.243548
18.0,20,48.269076
-6.919688,7,48.278779
20.0,20,48.301899
-4.323072,11,48.343236
-8.296062,5,48.351509
-12.851357,1,48.355568
-5.0,7,48.365429
-1.0,13,48.382162
-4.0,8,48.393262
-3.55071,13,48.408989
1.0,13,48.424967
14.0,20,48.44853
20.0,20,48.474826
20.0,20,48.499644
-7.0,5,48.506175
16.0,20,48.530083
-2.0,10,48.543331
-5.0,7,48.553355
-11.0,5,48.560992
20.0,20,48.585838
12.308954,20,48.609688
-6.0,6,48.618554
16.0,20,48.641957
18.0,20,48.666914
16.0,20,48.691779
20.0,20,48.71598
1.0,17,48.737624
10.0,20,48.760552
16.0,20,48.786773
-15.0,1,48.7902
16.0,20,48.814866
1.0,13,48.831205
16.0,20,48.855078
6.0,18,48.878817
-7.0,5,48.88642
20.0,20,48.909894
16.0,20,48.933217
-7.517285,6,48.942601
-4.0,8,48.952855
1.0,19,48.976376
4.0,18,48.998952
-2.0,10,49.012467
2.0,14,49.029988
-10.888242,3,49.033843
-12.921051,1,49.036866
3.389085,19,49.059282
16.0,20,49.083619
-10.0,2,49.087828
-10.670485,4,49.094367
-14.83678,7,49.105086
-8.0,4,49.110976
-12.936903,1,49.113178
-9.0,3,49.11787
16.0,20,49.141113
16.0,20,49.165126
2.0,14,49.181295
-10.0,2,49.185271
20.0,20,49.211583
16.0,20,49.235619
18.0,20,49.25903
-6.0,6,49.266451
-9.0,3,49.272213
4.0,16,49.292353
-11.737493,3,49.297217
-7.0,9,49.309326
-9.0,3,49.314968
2.0,18,49.335119
-5.0,11,49.348623
-4.357321,9,49.359529
20.0,20,49.384252
-4.776952,10,49.398222
-11.0,3,49.402253
20.0,20,49.426773
16.0,20,49.450995
-11.0,1,49.454061
20.0,20,49.477486
4.0,18,49.499331
16.0,20,49.525205
-12.96297,1,49.527524
-3.0,9,49.539092
18.0,20,49.562509
-12.975713,1,49.56584
-9.0,5,49.572015
14.0,20,49.595792
-12.565323,1,49.597857
20.0,20,49.624427
-11.732294,2,49.628337
20.0,20,49.65129
16.0,20,49.674398
18.0,20,49.69839
-12.949947,1,49.700579
20.0,20,49.727232
-4.0,8,49.738043
2.0,14,49.756944
20.0,20,49.780208
-3.0,11,49.792825
-3.0,9,49.804564
16.0,20,49.83115
-0.748079,13,49.847647
-11.0,1,49.8499
-8.0,4,49.855872
-11.0,1,49.858752
-9.0,3,49.863467
-7.0,5,49.87019
-6.408441,7,49.879804
16.0,20,49.904245
16.0,20,49.929566
1.0,13,49.9456
-6.53667,7,49.954477
14.0,20,49.979057
20.0,20,50.003213
16.0,20,50.027908
0.0,12,50.043827
7.0,19,50.068069
20.0,20,50.091563
16.0,20,50.114651
-10.641667,3,50.119465
16.0,20,50.14614
-9.0,3,50.149942
-8.0,8,50.161292
-12.329618,1,50.164146
16.0,20,50.189078
14.0,20,50.213214
12.0,20,50.237944
12.0,20,50.26308
-8.0,4,50.269725
-8.213468,5,50.276786
14.0,20,50.300025
-8.226671,5,50.306751
-1.0,11,50.321174
20.0,20,50.34586
-9.0,3,50.35111
-4.0,8,50.361446
18.0,20,50.387097
-11.669333,2,50.390324
-1.0,11,50.403975
4.0,16,50.4235
-7.0,9,50.435536
16.0,20,50.461616
-12.774531,1,50.463759
-12.0,8,50.473159
18.0,20,50.497603
-4.0,8,50.507953
-12.963704,1,50.510762
-1.784855,12,50.525213
20.0,20,50.549896
20.0,20,50.573949
18.0,20,50.597768
12.0,20,50.622246
16.0,20,50.64705
0.0,14,50.664924
14.0,20,50.687944
16.0,20,50.711177
3.0,15,50.730512
-10.0,2,50.733494
16.0,20,50.757479
16.0,20,50.782857
-6.0,6,50.792329
-2.0,10,50.804204
8.0,20,50.82857
16.0,20,50.852409
14.0,20,50.879019
20.0,20,50.901475
3.0,19,50.925933
-8.0,4,50.931939
-6.0,6,50.942034
16.0,20,50.966136
-7.981498,6,50.973944
20.0,20,50.998203
-2.892679,11,51.012962
8.0,20,51.036408
14.0,20,51.059672
1.0,15,51.079276
18.0,20,51.104781
4.0,20,51.129229
16.0,20,51.152871
-4.0,8,51.16424
8.0,20,51.190094
12.0,20,51.212932
-9.540236,4,51.218184
20.0,20,51.244249
-5.0,7,51.254253
16.0,20,51.282782
14.0,20,51.307065
-7.0,5,51.314466
-11.0,1,51.317439
16.0,20,51.341664
-12.981748,1,51.343965
16.0,20,51.367485
8.0,20,51.393556
-11.0,1,51.395888
16.0,20,51.419536
0.0,12,51.434073
16.0,20,51.45861
16.0,20,51.483524
-12.0,4,51.489389
16.0,20,51.51398
16.0,20,51.538489
1.0,19,51.561332
-4.0,8,51.571534
16.0,20,51.596956
-1.0,11,51.612219
-12.70345,1,51.614481
20.0,20,51.637373
20.0,20,51.660867
16.0,20,51.685793
-12.892786,1,51.689215
-10.0,2,51.692888
12.0,20,51.717766
0.0,12,51.733277
-10.758458,3,51.737986
14.0,20,51.761038
20.0,20,51.784769
1.0,13,51.802832
16.0,20,51.82706
-6.716993,9,51.837916
-8.0,4,51.843493
20.0,20,51.868102
-10.0,2,51.871968
-11.526485,2,51.874946
20.0,20,51.899777
-12.232294,1,51.903239
20.0,20,51.926969
-4.0,14,51.944268
16.0,20,51.968714
20.0,20,51.994024
12.0,20,52.020106
2.148861,16,52.03922
-10.0,2,52.042272
16.0,20,52.066895
-3.205272,12,52.081347
-8.986395,5,52.088769
20.0,20,52.113784
3.0,15,52.132662
16.0,20,52.155668
-2.908969,11,52.169724
-3.976181,10,52.182345
10.0,20,52.206733
14.0,20,52.232553
8.0,20,52.256282
-12.353608,1,52.258342
-1.0,11,52.272616
10.0,20,52.295906
16.0,20,52.321207
-2.0,10,52.334346
14.0,20,52.358433
14.0,20,52.382144
5.062319,19,52.404943
20.0,20,52.431501
1.0,13,52.448785
-9.0,3,52.453632
20.0,20,52.47631
16.0,20,52.499562
8.0,20,52.524766
-2.0,10,52.537433
5.0,19,52.560822
16.0,20,52.584088
16.0,20,52.608112
-8.320791,5,52.614576
-11.0,1,52.617513
12.0,20,52.642707
-0.92013,13,52.659576
4.0,18,52.680671
-9.0,3,52.685473
4.199495,18,52.70751
8.0,20,52.733229
6.0,20,52.758073
-5.0,7,52.767011
-10.0,2,52.7708
12.0,20,52.795426
-12.0,4,52.801056
12.0,20,52.824884
-9.0,3,52.829725
-4.969422,9,52.843094
-1.0,11,52.857914
16.0,20,52.882077
-10.0,2,52.884893
16.0,20,52.909596
18.0,20,52.933593
-10.931774,3,52.939859
-12.3102,1,52.9419
16.0,20,52.967699
-9.0,3,52.972476
-2.0,10,52.98451
-4.0,8,52.994712
-7.865082,6,53.003921
14.0,20,53.027269
16.0,20,53.05324
-8.200413,5,53.060448
1.0,17,53.082315
-2.0,10,53.095349
16.0,20,53.11873
2.837703,18,53.139763
20.0,20,53.166267
16.0,20,53.18962
-10.0,2,53.193453
-8.0,4,53.198973
-12.977759,1,53.202158
-9.0,3,53.206934
-4.0,8,53.217519
-12.984501,1,53.219712
-11.0,1,53.222429
20.0,20,53.245436
16.0,20,53.270877
6.0,18,53.292748
16.0,20,53.31692
18.0,20,53.339967
-8.0,4,53.345572
20.0,20,53.372084
-9.0,3,53.378192
1.0,15,53.395343
-5.0,7,53.404646
18.510778,20,53.427939
16.0,20,53.452614
16.0,20,53.477467
-12.925377,1,53.479795
-7.0,5,53.487547
-5.0,7,53.497223
-10.0,2,53.501115
-10.81163,3,53.505755
18.0,20,53.529549
18.0,20,53.553554
-9.0,3,53.557546
-5.0,7,53.566885
16.0,20,53.592582
4.0,16,53.613471
5.0,17,53.633348
20.0,20,53.656605
-1.0,11,53.670426
-3.0,9,53.68454
8.735639,20,53.708968
16.0,20,53.732819
12.0,20,53.755595
8.0,20,53.779624
-1.898991,12,53.795606
18.0,20,53.819844
-8.0,6,53.828016
-2.342021,11,53.84287
-1.0,11,53.856009
-12.964562,1,53.859037
6.0,20,53.882071
20.0,20,53.908309
16.0,20,53.932414
20.0,20,53.956098
-12.832746,1,53.958116
20.0,20,53.982968
16.0,20,54.008629
20.0,20,54.032596
-8.0,4,54.038642
16.0,20,54.062929
-8.0,4,54.068426
14.0,20,54.092316
12.0,20,54.119582
14.0,20,54.145488
1.0,15,54.163467
-10.0,2,54.166374
-12.990256,1,54.168309
16.0,20,54.192353
14.0,20,54.217907
4.0,16,54.237534
-11.0,3,54.242307
20.0,20,54.267187
16.0,20,54.290547
16.0,20,54.316115
-5.0,7,54.326705
16.0,20,54.351783
16.0,20,54.375199
14.0,20,54.398867
-8.0,4,54.40467
-8.0,8,54.416635
0.0,12,54.432304
16.0,20,54.457236
0.0,12,54.471492
12.0,20,54.496059
-13.0,1,54.498188
14.0,20,54.522705
-11.620142,2,54.526614
-9.0,3,54.532078
16.0,20,54.55685
-11.0,1,54.559779
-6.632434,9,54.57089
16.0,20,54.59495
-7.247977,6,54.602227
-10.0,2,54.606134
-3.0,9,54.617582
5.0,17,54.639956
16.0,20,54.66454
16.0,20,54.68832
20.0,20,54.711214
-2.0,14,54.729754
18.0,20,54.754638
16.0,20,54.77899
-11.0,1,54.781182
-3.0,9,54.793373
2.0,14,54.811219
20.0,20,54.836122
-10.0,2,54.839319
3.0,19,54.864403
10.0,20,54.888585
-8.0,4,54.894127
6.0,20,54.916982
-8.407644,5,54.924879
12.0,20,54.977356
-10.0,2,54.983457
2.0,14,55.002114
-15.0,1,55.006497
12.0,20,55.030715
20.0,20,55.056063
14.0,20,55.08058
-4.0,8,55.091787
20.0,20,55.115396
20.0,20,55.139012
12.0,20,55.16655
14.0,20,55.190406
-2.360146,15,55.208293
-8.0,6,55.216855
-7.0,5,55.223969
18.0,20,55.24933
16.0,20,55.274692
16.0,20,55.298224
20.0,20,55.322364
-11.0,1,55.325571
8.0,20,55.348469
-9.0,3,55.354092
16.0,20,55.379222
-4.0,8,55.391354
14.0,20,55.416015
14.0,20,55.448476
-4.0,12,55.464744
14.0,20,55.491231
-6.465913,7,55.500734
16.0,20,55.523839
-3.0,17,55.543589
8.0,20,55.569577
16.0,20,55.595916
0.0,12,55.61137
20.0,20,55.635874
-9.0,3,55.641838
16.0,20,55.665405
5.0,17,55.686443
16.0,20,55.71125
14.0,20,55.735553
20.0,20,55.759112
20.0,20,55.783715
-7.0,7,55.792926
18.0,20,55.818171
16.0,20,55.842264
20.0,20,55.865594
16.0,20,55.89125
-4.630298,9,55.903592
16.0,20,55.927185
-11.0,1,55.929264
20.0,20,55.952968
-7.0,5,55.961264
-9.0,5,55.967994
2.0,14,55.98491
20.0,20,56.009611
6.0,18,56.03227
-6.0,6,56.039744
-9.0,3,56.044639
-7.0,5,56.051268
16.0,20,56.075582
20.0,20,56.101177
20.0,20,56.125545
16.0,20,56.149535
-12.968577,1,56.153626
-7.297962,6,56.16097
18.0,20,56.184272
16.0,20,56.210974
-1.0,11,56.228954
1.0,15,56.248559
14.0,20,56.277433
16.0,20,56.306298
16.0,20,56.33074
0.127442,14,56.348291
16.0,20,56.371352
-9.0,3,56.376127
-0.533852,13,56.392796
-11.0,17,56.414261
20.0,20,56.438611
16.0,20,56.461371
-2.0,10,56.475816
-6.93782,9,56.486603
16.0,20,56.511672
-9.223559,4,56.517975
16.0,20,56.543018
-12.721,1,56.545204
-7.0,5,56.552586
18.0,20,56.576726
-11.0,1,56.579975
-2.0,10,56.591765
-6.0,6,56.600842
8.0,20,56.62658
12.0,20,56.651036
0.0,12,56.666058
-10.392439,3,56.670877
10.0,20,56.693806
16.0,20,56.720519
-10.430055,3,56.724737
8.0,20,56.749206
-4.0,8,56.759326
16.0,20,56.784128
-11.0,1,56.787072
16.0,20,56.810416
-1.0,15,56.830074
14.0,20,56.855555
-13.206911,2,56.859726
-1.0,11,56.873297
16.0,20,56.897478
20.0,20,56.924042
20.0,20,56.949242
-7.0,9,56.960562
20.0,20,56.984728
-6.0,6,56.993308
10.0,20,57.016895
20.0,20,57.042474
20.0,20,57.066574
12.0,20,57.091361
-2.868105,15,57.109861
16.0,20,57.134754
12.0,20,57.159819
14.0,20,57.183439
14.0,20,57.207092
-3.0,13,57.222954
-2.0,14,57.242328
5.0,17,57.264357
16.0,20,57.288675
-11.750119,2,57.292556
20.0,20,57.31629
-9.918427,4,57.323194
8.0,20,57.349194
20.0,20,57.373227
-6.0,6,57.380926
16.0,20,57.405765
16.0,20,57.429562
20.0,20,57.455363
16.0,20,57.478473
20.0,20,57.50273
20.0,20,57.525809
16.0,20,57.551188
20.0,20,57.575924
-10.0,2,57.580965
16.0,20,57.604653
18.0,20,57.627654
8.0,20,57.651567
3.0,19,57.677071
-13.0,3,57.681709
16.0,20,57.705571
16.0,20,57.729711
-11.327843,2,57.735673
16.0,20,57.759594
12.0,20,57.784201
14.0,20,57.808269
16.0,20,57.833113
16.0,20,57.855994
-8.0,8,57.86723
-10.0,2,57.870817
14.0,20,57.896182
1.0,17,57.916141
-12.976707,1,57.919169
16.0,20,57.942425
3.0,15,57.962878
12.0,20,57.987581
16.0,20,58.011477
0.0,16,58.030108
4.0,20,58.054396
1.0,17,58.076875
14.0,20,58.101117
16.0,20,58.125609
16.0,20,58.151059
-13.259434,2,58.154205
20.0,20,58.178693
16.0,20,58.203418
3.0,19,58.227937
12.0,20,58.251227
20.0,20,58.274665
-2.0,10,58.289402
20.0,20,58.313753
16.0,20,58.337473
16.0,20,58.363171
14.0,20,58.388231
14.0,20,58.413838
-7.0,5,58.42099
-11.977789,2,58.423829
16.0,20,58.447094
16.0,20,58.471864
1.0,17,58.493549
12.0,20,58.517768
4.0,18,58.539695
-6.0,6,58.548444
-12.946079,1,58.551388
20.0,20,58.574476
-1.0,11,58.588028
-14.0,2,58.593765
16.0,20,58.618285
-7.0,9,58.629544
1.0,13,58.645097
-3.0,9,58.658555
-8.0,4,58.664385
1.0,13,58.679935
14.0,20,58.704748
16.0,20,58.730987
-8.0,4,58.737099
16.0,20,58.760869
20.0,20,58.784272
16.0,20,58.810381
16.0,20,58.834546
14.0,20,58.858178
16.0,20,58.88221
-5.0,7,58.892229
-7.0,9,58.904585
16.0,20,58.9287
12.0,20,58.952326
14.0,20,58.976792
4.0,16,58.994776
-1.888728,16,59.015263
14.0,20,59.040295
18.0,20,59.065439
16.0,20,59.08867
16.0,20,59.112932
-12.974681,1,59.114961
14.0,20,59.140446
1.0,19,59.163269
14.0,20,59.186562
-3.0,13,59.202388
-7.0,9,59.214928
-6.0,14,59.233248
-11.840434,2,59.236332
16.0,20,59.260211
16.0,20,59.285029
12.0,20,59.308275
18.0,20,59.333589
16.0,20,59.35826
20.0,20,59.383883
10.0,20,59.408755
20.0,20,59.434511
-12.833359,1,59.437788
20.0,20,59.463027
16.0,20,59.487026
16.0,20,59.510085
-10.0,2,59.513121
16.0,20,59.539776
16.0,20,59.563528
4.0,16,59.582647
-6.0,6,59.591629
12.0,20,59.616033
-2.0,16,59.635839
-3.0,17,59.656469
-10.0,2,59.659635
16.0,20,59.68367
12.0,20,59.707601
14.0,20,59.732416
12.0,20,59.75737
16.0,20,59.78214
-9.918861,8,59.792066
-7.0,5,59.799726
14.0,20,59.824104
-4.0,12,59.841392
16.0,20,59.865958
4.0,20,59.889554
20.0,20,59.913816
16.0,20,59.940188
-5.0,11,59.954376
16.0,20,59.977748
12.0,20,60.001288
12.0,20,60.02527
14.0,20,60.049978
18.0,20,60.075205
-12.0,4,60.081075
3.0,19,60.105284
4.0,20,60.128325
14.0,20,60.153791
14.0,20,60.17811
16.0,20,60.202893
12.0,20,60.226033
-5.0,7,60.235308
16.0,20,60.261061
5.356917,19,60.284769
16.0,20,60.308407
12.0,20,60.331822
-6.0,6,60.33921
20.0,20,60.365519
16.0,20,60.389599
16.0,20,60.413505
-3.0,9,60.424351
2.0,14,60.44209
-12.304344,1,60.444049
18.0,20,60.469646
-11.0,1,60.471972
18.0,20,60.496339
20.0,20,60.51993
14.0,20,60.543321
-10.0,2,60.547214
-9.0,3,60.553141
16.0,20,60.578361
16.0,20,60.602704
16.0,20,60.626197
16.0,20,60.650645
-3.670007,14,60.668282
0.0,12,60.684772
14.0,20,60.708844
10.0,20,60.732676
-4.0,8,60.743017
14.748784,20,60.765853
10.535575,20,60.791735
-8.0,4,60.798371
12.0,20,60.82124
16.0,20,60.844981
18.0,20,60.868819
-12.96091,1,60.873343
14.0,20,60.898133
20.0,20,60.922487
14.0,20,60.946086
-7.0,5,60.954267
-12.228093,1,60.956195
20.0,20,60.980573
16.0,20,61.005029
18.0,20,61.030465
-12.984853,1,61.032698
18.0,20,61.056586
16.0,20,61.081685
12.0,20,61.107575
16.0,20,61.131507
-3.0,9,61.142836
18.0,20,61.167285
12.0,20,61.194014
16.0,20,61.218653
-1.523106,12,61.233482
16.0,20,61.257877
8.0,20,61.284402
16.0,20,61.31027
16.0,20,61.334035
-2.521177,11,61.348
-12.21041,1,61.35134
-2.0,14,61.368374
18.0,20,61.391782
-2.240281,15,61.438965
-6.0,6,61.451569
16.0,20,61.47697
-3.0,13,61.493087
20.0,20,61.518637
16.0,20,61.545082
1.0,13,61.562658
16.0,20,61.586086
12.0,20,61.6103
-3.0,9,61.623245
18.0,20,61.646788
16.0,20,61.671343
12.0,20,61.694486
-11.0,1,61.697931
18.0,20,61.724005
2.0,18,61.746192
20.0,20,61.770785
-12.560886,1,61.774051
-8.0,4,61.779844
-2.690571,15,61.797966
16.0,20,61.823993
-8.0,4,61.830503
8.0,20,61.853807
12.0,20,61.877264
-11.0,1,61.87988
-2.0,10,61.892538
16.0,20,61.917372
8.0,20,61.94203
-2.0,10,61.955222
20.0,20,61.980575
8.0,20,62.00381
20.0,20,62.028804
14.0,20,62.053316
16.0,20,62.077437
-7.0,9,62.088376
-8.0,8,62.098382
-10.703941,7,62.107939
0.0,12,62.123481
-6.208495,7,62.134354
16.0,20,62.159302
20.0,20,62.182503
-5.556613,14,62.20068
-15.797212,2,62.204485
16.0,20,62.228583
20.0,20,62.255258
-12.882008,1,62.258486
16.0,20,62.281896
16.0,20,62.305862
-11.0,1,62.308163
7.0,19,62.331741
-4.0,8,62.343688
-11.388226,2,62.347046
-9.0,3,62.352127
-6.0,6,62.361547
16.0,20,62.384737
5.0,17,62.404403
-11.0,1,62.406582
16.0,20,62.431826
20.0,20,62.457847
-4.0,8,62.468384
12.0,20,62.490755
-8.0,8,62.501791
12.0,20,62.524851
12.0,20,62.550253
16.0,20,62.574952
20.0,20,62.59944
5.0,17,62.620143
16.0,20,62.645399
-6.0,6,62.653985
0.0,12,62.670137
-3.0,9,62.681071
6.0,20,62.704114
20.0,20,62.728419
20.0,20,62.754136
16.0,20,62.779199
14.0,20,62.803043
-12.967704,1,62.805239
-12.846431,1,62.809377
7.0,19,62.831379
16.0,20,62.856006
-4.0,8,62.866863
-4.985517,9,62.880131
-5.0,7,62.888887
-9.0,3,62.893583
-8.0,4,62.898926
20.0,20,62.922756
-15.0,1,62.924832
-12.896172,1,62.928416
16.0,20,62.953462
16.0,20,62.979825
1.0,17,62.999738
20.0,20,63.024163
20.0,20,63.047699
-10.0,2,63.051731
14.0,20,63.076962
18.0,20,63.101035
16.0,20,63.124779
14.0,20,63.148944
-15.0,1,63.151976
-8.0,4,63.157754
3.0,15,63.176229
-3.731622,10,63.190017
-14.286168,5,63.197081
18.0,20,63.220785
-9.0,3,63.225691
-5.0,7,63.235576
-12.94815,1,63.237756
14.574925,20,63.2615
16.0,20,63.28659
-11.0,1,63.289941
16.0,20,63.314266
16.0,20,63.338054
14.0,20,63.362182
-7.0,5,63.369604
8.0,20,63.395712
18.0,20,63.419414
-2.871602,11,63.433218
16.0,20,63.458108
-1.0,11,63.471833
20.0,20,63.498488
20.0,20,63.522401
14.0,20,63.546692
16.0,20,63.569784
-6.0,6,63.577478
-4.0,8,63.589368
16.0,20,63.614707
16.0,20,63.638782
20.0,20,63.663227
3.0,15,63.681599
18.0,20,63.707759
14.0,20,63.732658
14.0,20,63.755992
-9.468116,4,63.761378
-6.0,6,63.77069
14.0,20,63.79294
16.0,20,63.81882
14.0,20,63.843569
12.0,20,63.868406
14.0,20,63.891375
12.0,20,63.916128
-12.681752,5,63.92329
20.0,20,63.948088
-15.0,1,63.950521
16.0,20,63.974263
-7.0,5,63.980493
-6.850571,11,63.995459
16.0,20,64.021342
16.0,20,64.045516
16.0,20,64.069695
16.0,20,64.094433
16.0,20,64.118975
4.079795,18,64.14223
16.0,20,64.165788
20.0,20,64.190942
-8.0,4,64.1965
16.0,20,64.220936
-12.976474,1,64.223395
-10.459651,5,64.2315
-6.0,6,64.24045
16.0,20,64.264323
-4.0,12,64.278865
-5.614419,10,64.292347
-3.0,9,64.303688
-10.0,2,64.307601
14.0,20,64.333508
-10.0,2,64.337845
16.0,20,64.361429
-11.0,1,64.364212
16.0,20,64.387151
-13.0,9,64.3992
16.0,20,64.423199
-11.0,1,64.425635
12.0,20,64.450235
-12.811062,1,64.453601
16.0,20,64.476819
12.0,20,64.50008
-11.0,1,64.5029
16.0,20,64.527584
16.0,20,64.552982
16.0,20,64.576507
16.0,20,64.600724
-7.486987,6,64.609473
14.0,20,64.633891
-4.0,8,64.644431
-5.0,7,64.654851
-6.0,6,64.663412
-12.423575,1,64.666288
6.0,20,64.690013
5.0,17,64.710175
12.0,20,64.736868
18.0,20,64.763123
20.0,20,64.786335
14.0,20,64.81035
-10.0,2,64.814426
14.0,20,64.836695
-5.0,9,64.85026
14.0,20,64.875175
-10.0,2,64.878978
14.0,20,64.902042
12.0,20,64.925563
-12.900901,1,64.927664
14.0,20,64.952398
20.0,20,64.976897
14.0,20,65.000972
-3.0,9,65.012538
-7.0,5,65.019912
