#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
-2.0,20,10.504218
-12.0,20,10.529681
-8.0,20,10.554278
2.0,20,10.577654
-20.0,20,10.599626
0.0,20,10.624846
-12.0,20,10.647384
-22.0,20,10.669845
-4.0,20,10.692186
-10.0,4,10.697536
-20.0,20,10.722928
-24.0,20,10.74704
-22.0,20,10.769185
-12.0,20,10.792092
-12.0,20,10.816542
-15.0,11,10.829517
-14.0,20,10.852263
2.0,20,10.874637
0.0,20,10.898521
-4.0,20,10.922366
-4.0,20,10.946193
-8.0,20,10.968254
-12.0,20,10.990712
-13.0,3,10.995453
2.0,20,11.01769
-8.0,10,11.031587
-16.0,2,11.035639
-6.0,20,11.059101
-12.0,20,11.081478
2.0,20,11.104328
-8.0,20,11.127644
-10.836712,5,11.135392
-10.0,2,11.139379
-20.0,20,11.162626
-8.0,20,11.186266
-17.0,13,11.201048
-10.0,20,11.223293
0.0,20,11.249998
-4.0,20,11.274382
-10.0,8,11.284225
-12.445441,1,11.286135
-12.673729,1,11.288937
-14.0,20,11.312859
-6.0,20,11.335706
-11.0,1,11.339104
-16.0,20,11.363276
-6.0,20,11.387121
-18.0,20,11.409597
-16.0,20,11.431319
-12.561244,1,11.433486
-12.0,6,11.443803
-11.0,3,11.44757
-14.0,20,11.47066
-11.0,1,11.473571
-8.0,20,11.496306
6.0,20,11.518831
-16.0,8,11.528814
-21.0,19,11.550172
-6.0,20,11.575272
-12.937881,1,11.578545
-15.0,7,11.58632
-8.0,8,11.596571
-4.0,20,11.620135
-2.0,20,11.642768
-6.0,20,11.667741
-14.0,4,11.67367
-14.0,16,11.692487
-13.0,1,11.695463
0.0,20,11.717627
4.0,20,11.740441
-8.0,20,11.765488
-12.0,20,11.789327
-14.0,20,11.811216
-11.0,5,11.817531
-16.0,20,11.841013
-14.0,20,11.864525
-4.0,20,11.887839
-19.981673,4,11.893282
-20.0,14,11.91008
-18.0,20,11.933091
-14.0,8,11.942697
-2.0,20,11.965895
-12.320389,1,11.971154
-2.0,20,11.995072
2.0,20,12.017546
-20.0,18,12.037976
-10.0,20,12.060931
-11.0,1,12.063158
-16.0,20,12.087779
-12.0,20,12.110778
-19.858327,10,12.124836
-8.0,20,12.147745
-4.0,20,12.169592
-4.0,20,12.19455
2.0,20,12.218465
2.0,20,12.241293
0.0,20,12.263342
-11.0,1,12.265352
-10.0,20,12.29015
-22.0,20,12.313624
-12.956812,1,12.31566
-24.0,20,12.338405
4.0,20,12.362235
-22.0,20,12.385257
-6.0,20,12.410452
-4.0,20,12.433094
0.0,20,12.456664
-16.0,20,12.479197
-27.0,17,12.500482
-18.0,20,12.524269
-6.0,20,12.548289
-6.0,8,12.559334
-10.0,4,12.564931
-10.0,2,12.567879
-32.0,16,12.586409
-10.0,20,12.611026
-16.0,20,12.634326
-20.0,20,12.656378
-12.0,20,12.680692
-13.0,3,12.68568
-10.362034,3,12.690284
0.0,20,12.714865
-12.0,20,12.738698
-2.0,20,12.760924
-17.0,9,12.771193
-13.451512,2,12.774178
-16.0,20,12.797694
-10.0,20,12.823113
-4.0,20,12.846204
-24.634084,15,12.863652
-20.0,20,12.886842
2.0,20,12.909572
-16.0,20,12.934403
-26.817127,11,12.947461
-17.0,13,12.96341
-4.0,20,12.986036
-6.0,20,13.007638
-12.0,12,13.023095
-2.0,20,13.04772
-16.0,20,13.070766
-4.0,20,13.093431
-6.0,20,13.116215
-8.0,20,13.141483
-9.0,15,13.158299
-13.0,7,13.167394
-12.346299,1,13.169489
-21.0,5,13.176252
-2.0,20,13.198359
-8.0,20,13.220167
-2.0,20,13.245037
-14.0,20,13.269014
-10.0,20,13.291346
-13.0,3,13.296143
6.0,20,13.317743
-8.0,20,13.341773
-6.0,20,13.365746
-11.986465,2,13.369316
-12.0,20,13.395905
-6.0,20,13.422582
-12.0,2,13.426688
0.0,20,13.452111
2.0,20,13.476498
-27.0,9,13.488167
0.0,20,13.511219
-24.0,20,13.532905
-12.0,20,13.557825
-6.0,10,13.572185
-13.0,1,13.574188
6.0,20,13.597547
-10.0,20,13.619546
-11.0,1,13.623105
2.0,20,13.645678
-20.0,20,13.670145
-6.0,20,13.693483
-6.0,20,13.71854
-16.0,8,13.728865
-32.0,20,13.750999
-8.0,20,13.775932
-8.0,20,13.799399
-12.0,12,13.813878
-14.0,20,13.836233
-10.0,2,13.839632
0.0,20,13.865311
-12.0,20,13.888759
-16.0,10,13.899793
-6.0,8,13.909433
-11.726031,6,13.918506
-6.0,20,13.94051
6.0,20,13.962749
-4.0,20,13.98781
-8.0,20,14.011819
-18.0,18,14.031636
-13.0,1,14.033764
-10.0,2,14.037676
-10.0,20,14.06119
-12.394363,1,14.063443
4.0,20,14.088848
-11.4894,2,14.092674
-12.0,20,14.116682
-12.324331,1,14.118787
-8.0,20,14.141309
-6.0,20,14.16357
-18.0,20,14.189325
-17.0,3,14.194201
0.0,20,14.21763
-13.0,1,14.219731
0.0,20,14.243855
-16.0,4,14.249448
4.0,20,14.271636
-23.0,13,14.287271
2.0,20,14.312862
-12.0,20,14.335459
-8.0,4,14.340849
2.0,20,14.363672
-2.0,20,14.386735
-13.0,1,14.389533
-6.0,20,14.414177
-4.0,20,14.4375
2.0,20,14.461113
-6.0,20,14.48338
-18.0,20,14.50722
-17.0,9,14.519108
-4.0,20,14.542676
-21.0,19,14.564062
-4.0,20,14.58654
-15.0,7,14.594923
-2.0,20,14.620755
-13.0,3,14.625771
-23.0,15,14.643312
-12.0,20,14.665729
-4.0,20,14.688962
-2.0,20,14.712803
0.0,20,14.735754
-13.0,3,14.739668
-6.0,20,14.762738
2.0,20,14.786286
-21.0,15,14.803204
-10.0,20,14.82857
-12.561782,1,14.831819
-8.0,20,14.854434
-17.776454,10,14.866637
6.0,20,14.889742
-14.0,20,14.913738
-8.0,20,14.939448
-12.0,20,14.962657
-19.0,5,14.969236
0.0,20,14.993591
-17.0,7,15.002443
-12.0,20,15.026443
0.0,20,15.050045
-14.0,2,15.054114
0.0,20,15.076891
-12.0,20,15.099448
-14.0,14,15.115688
-18.903962,19,15.141321
-16.0,4,15.146903
2.0,20,15.16957
-2.0,20,15.192126
8.0,20,15.215384
-13.474835,2,15.218388
2.0,20,15.243689
-15.978181,2,15.247619
-6.0,20,15.271867
0.0,20,15.293954
8.0,20,15.31644
-12.0,20,15.339818
-6.0,20,15.364805
-4.0,20,15.387528
-16.0,14,15.403388
-18.0,20,15.425998
0.0,20,15.451838
-6.0,20,15.474978
6.0,20,15.530065
-6.0,20,15.556375
-18.0,20,15.581039
0.0,20,15.603453
-4.0,20,15.625299
-2.0,20,15.648232
-13.0,1,15.6516
-18.0,20,15.674229
-12.0,20,15.697542
0.0,20,15.720102
-10.0,20,15.744667
-14.0,2,15.749484
-8.0,20,15.773726
-10.0,20,15.796546
-6.0,20,15.820005
0.0,20,15.841699
-2.0,20,15.8674
-10.0,20,15.890708
4.0,20,15.915775
-6.0,20,15.938803
8.0,20,15.96197
-2.0,20,15.984831
-6.0,20,16.009017
-12.0,20,16.031502
-10.0,14,16.047858
-13.964943,2,16.051594
8.0,20,16.076894
-7.0,13,16.092298
-4.0,20,16.114963
-14.0,20,16.136965
2.0,20,16.160439
-12.0,20,16.185834
6.0,20,16.208395
6.0,20,16.233424
8.0,20,16.258735
-15.0,1,16.260849
-10.0,20,16.285439
2.0,20,16.307928
-6.0,20,16.331172
-9.511906,10,16.343316
-14.0,20,16.365895
-11.590241,2,16.369717
-15.0,3,16.375301
2.0,20,16.398692
-7.0,5,16.405227
-16.0,20,16.427623
-30.0,20,16.451558
-15.0,7,16.460079
-2.0,20,16.483869
-16.0,8,16.494506
-12.0,20,16.518323
-4.0,20,16.54094
0.0,20,16.562953
-4.0,20,16.586806
-2.0,20,16.610366
-2.0,20,16.632476
2.0,20,16.656119
-11.0,3,16.660697
2.0,20,16.68461
0.0,20,16.708331
-18.0,14,16.724334
-24.0,12,16.738396
2.0,20,16.763638
-10.0,20,16.787223
0.0,20,16.811354
-14.0,16,16.829568
-11.0,3,16.835605
-11.0,1,16.837661
-6.0,20,16.860658
-6.0,20,16.883121
-15.0,1,16.887917
12.0,20,16.913338
-2.0,20,16.936812
-7.077538,14,16.953126
0.0,20,16.976476
-16.0,4,16.981793
-5.0,9,16.993916
-4.0,20,17.017237
-16.0,16,17.036298
-8.0,4,17.042053
-10.0,20,17.064304
-6.0,20,17.087217
6.0,20,17.113373
2.0,20,17.137186
